periode,organisasjonsnummer,produktkode,type,antall,belop
2027-01-01,958935420,melding,BRUKSVOLUM,15000,
2027-01-01,958935420,varsling,BRUKSVOLUM,3200,
2027-01-01,958935420,varsling,SMS_KOSTNAD,,1250.50
2027-01-01,912345678,formidling,BRUKSVOLUM,850,
2027-01-01,970018131,melding,BRUKSVOLUM,42000,
2027-01-01,970018131,autorisasjon,BRUKSVOLUM,1200,
2027-01-01,915429785,studio,BRUKSVOLUM,12,
2027-01-01,983998006,studio,BRUKSVOLUM,7,
2027-01-01,817920632,melding,BRUKSVOLUM,500,
2027-01-01,817920632,appinfra,AZURE_KOSTNAD,,45000.00
